first_peak,last_peak,gradient,_max_peak,_min_peak,signal_mean,signal_variance,sknewness,direction,
2.817382813,1.904296875,-0.149930538,4.995117188,0,2.472329135,1.492184524,,no-cross-right,
2.182617188,1.958007813,-0.029135209,4.995117188,0,2.472882771,1.485664648,,no-cross-right,
2.807617188,1.93359375,-0.140740613,4.995117188,0,2.472395494,1.486182214,,no-cross-right,
2.172851563,2.182617188,0.001564897,4.995117188,0,2.472844601,1.478080883,,no-cross-right,
2.177734375,2.817382813,0.114644594,4.995117188,0,2.514171665,1.286825954,,no-cross-left,
2.1484375,2.807617188,0.114450464,4.721679688,0,2.500691521,1.172650413,,no-cross-left,
2.124023438,3.037109375,0.176973672,4.809570313,0,2.495325566,1.093577827,,no-cross-left,
2.197265625,2.807617188,0.10381843,4.702148438,0,2.495134186,1.086853813,,no-cross-left,
2.158203125,3.022460938,0.151624589,4.995117188,0,2.493677126,1.116058628,,no-cross-left,
2.177734375,3.002929688,0.146317451,4.990234375,0,2.49380601,1.123875376,,no-cross-left,
2.192382813,2.998046875,0.133625026,4.995117188,0,2.492339199,1.162317127,,no-cross-left,
2.16796875,2.993164063,0.144017685,4.975585938,0,2.492080112,1.187639164,,no-cross-left,
2.192382813,2.998046875,0.138433536,4.995117188,0,2.492053353,1.20660679,,no-cross-left,
2.192382813,2.807617188,0.101025152,4.995117188,0,2.491332217,1.218443949,,no-cross-left,
2.16796875,2.802734375,0.102711548,4.741210938,0,2.491031846,1.213994967,,no-cross-left,
2.172851563,3.0078125,0.140569763,4.995117188,0,2.490115115,1.217624056,,no-cross-left,
2.192382813,2.8125,0.099384282,4.995117188,0,2.490029405,1.213396868,,no-cross-left,
2.177734375,3.022460938,0.161838294,4.995117188,0,2.504428597,1.500949764,,no-cross-left,
2.158203125,3.056640625,0.168278897,4.946289063,0,2.498468137,1.383131089,,no-cross-left,
2.172851563,2.836914063,0.114100896,4.7265625,0,2.497882299,1.19112071,,no-cross-left,
2.1875,2.807617188,0.1008309,4.443359375,0,2.495617764,1.122803785,,no-cross-left,
2.172851563,3.095703125,0.170877136,4.643554688,0,2.494127091,1.115906911,,no-cross-left,
